code,name,date,reason
8685,アメリカン・インターナショナル・グループ・インク,2018-12-03,申請による上場廃止
7889,桑山,2018-12-04,株式等売渡請求による取得
1987,ソルコム,2018-12-26,ミライト・ホールディングスの完全子会社化
5413,日新製鋼,2018-12-26,新日鐵住金の完全子会社化
6816,アルパイン,2018-12-26,アルプスアルパインの完全子会社化
6972,エルナー,2018-12-26,太陽誘電の完全子会社化
8933,エヌ・ティ・ティ都市開発,2019-01-08,株式等売渡請求による取得
8840,大京,2019-01-22,株式等売渡請求による取得
6478,ダイベア,2019-01-25,株式等売渡請求による取得
2458,夢テクノロジー,2019-01-28,夢真ホールディングスの完全子会社化
8423,アクリーティブ,2019-02-01,株式の併合
8191,光製作所,2019-02-12,株式の併合
2228,シベール,2019-02-18,民事再生手続き
3654,ヒト・コミュニケーションズ,2019-02-26,ヒト・コミュニケーションズ・ホールディングスの完全子会社化
5758,ＦＣＭ,2019-03-07,株式等売渡請求による取得
6079,エナリス,2019-03-13,株式の併合
3366,一六堂,2019-03-19,株式の併合
6796,クラリオン,2019-03-25,株式等売渡請求による取得
5002,昭和シェル石油,2019-03-27,出光興産の完全子会社化
6773,パイオニア,2019-03-27,株式の併合
8396,十八銀行,2019-03-27,ふくおかフィナンシャルグループの完全子会社化
9957,バイテックホールディングス,2019-03-27,レスターホールディングスに合併
3724,ベリサーブ,2019-04-18,株式等売渡請求による取得
4291,ＪＩＥＣ,2019-04-18,株式等売渡請求による取得
4924,シーズ・ホールディングス,2019-04-22,株式の併合
3230,スター・マイカ,2019-05-29,スター・マイカ・ホールディングスの完全子会社化
3794,エヌ・デーソフトウェア,2019-06-18,株式の併合
3165,フーマイスターエレクトロニクス,2019-07-10,株式の併合
5456,朝日工業,2019-07-23,株式の併合
6300,アピックヤマダ,2019-07-30,株式等売渡請求による取得
6747,ＫＩホールディングス,2019-07-30,株式等売渡請求による取得
7913,図書印刷,2019-07-30,凸版印刷の完全子会社化
9899,ジョリーパスタ,2019-07-30,ゼンショーホールディングスの完全子会社化
6985,ユーシン,2019-08-05,株式の併合
2703,日本ライトン,2019-08-23,株式等売渡請求による取得
3385,薬王堂,2019-08-29,薬王堂ホールディングスの完全子会社化
6097,日本ビューホテル,2019-08-29,ヒューリックの完全子会社化
8703,カブドットコム証券,2019-08-29,株式の併合
9992,理研グリーン,2019-08-29,クミアイ化学工業の完全子会社化
4033,日東エフシー,2019-09-18,株式の併合
2144,やまねメディカル,2019-09-27,SIホールディングスの完全子会社化
6624,田淵電機,2019-09-27,ダイヤモンドエレクトリックホールディングスの完全子会社化
