ticker,code,name,market,sector33,size,last_date,bars,last_close,adv_jpy,adv_shares,turnover_last,ok_adv,ok_price,ok_history,ok_split,ok_fresh,passes
285A.T,285A,キオクシアホールディングス,Prime,電気機器,,2026-09-07,418.0,59530.0,1931412553650.0,36571385.0,1864687955000.0,True,True,True,True,True,True
5803.T,5803,フジクラ,Prime,非鉄金属,,2026-09-07,2610.0,5241.0,315053489630.0,57587920.0,161041779300.0,True,True,True,True,True,True
6857.T,6857,アドバンテスト,Prime,電気機器,,2026-09-07,2610.0,34480.0,283923365000.0,8163790.0,328659912000.0,True,True,True,True,True,True
6976.T,6976,太陽誘電,Prime,電気機器,,2026-09-07,2610.0,9824.0,249552942340.0,25920580.0,269439900800.0,True,True,True,True,True,True
9984.T,9984,ソフトバンクグループ,Prime,情報・通信業,,2026-09-07,2610.0,6217.0,208906037245.0,38272260.0,519981797900.0,True,True,True,True,True,True
6981.T,6981,村田製作所,Prime,電気機器,,2026-09-07,2610.0,7620.0,168697136960.0,22575870.0,155778708000.0,True,True,True,True,True,True
8035.T,8035,東京エレクトロン,Prime,電気機器,,2026-09-07,2610.0,55840.0,157275171350.0,2810420.0,161958336000.0,True,True,True,True,True,True
4062.T,4062,イビデン,Prime,電気機器,,2026-09-07,2610.0,22200.0,157141270375.0,7707880.0,211339560000.0,True,True,True,True,True,True
8306.T,8306,三菱ＵＦＪフィナンシャル・グループ,Prime,銀行業,,2026-09-07,2610.0,3711.0,132623363970.0,36467485.0,145725032400.0,True,True,True,True,True,True
5801.T,5801,古河電気工業,Prime,非鉄金属,,2026-09-07,2610.0,3840.0,112388927905.0,28243255.0,76544256000.0,True,True,True,True,True,True
6920.T,6920,レーザーテック,Prime,電気機器,,2026-09-07,2610.0,35590.0,96488725350.0,2685935.0,115550053000.0,True,True,True,True,True,True
6146.T,6146,ディスコ,Prime,機械,,2026-09-07,2610.0,57150.0,80700384900.0,1341985.0,64899540000.0,True,True,True,True,True,True
7974.T,7974,任天堂,Prime,その他製品,,2026-09-07,2610.0,8750.0,80390085455.0,9198215.0,54765375000.0,True,True,True,True,True,True
8316.T,8316,三井住友フィナンシャルグループ,Prime,銀行業,,2026-09-07,2610.0,6976.0,75463596025.0,11007785.0,76101881600.0,True,True,True,True,True,True
6098.T,6098,リクルートホールディングス,Prime,サービス業,,2026-09-07,2610.0,16140.0,74174034275.0,4451010.0,50376168000.0,True,True,True,True,True,True
8411.T,8411,みずほフィナンシャルグループ,Prime,銀行業,,2026-09-07,2610.0,8710.0,71942725665.0,8475170.0,66755182000.0,True,True,True,True,True,True
7203.T,7203,トヨタ自動車,Prime,輸送用機器,,2026-09-07,2610.0,3096.0,69630838360.0,22626565.0,40058524800.0,True,True,True,True,True,True
9983.T,9983,ファーストリテイリング,Prime,小売業,,2026-09-07,2610.0,69160.0,68701341000.0,937540.0,61386416000.0,True,True,True,True,True,True
278A.T,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,Growth,精密機器,,2026-09-07,431.0,20100.0,68150253400.0,3723735.0,170896230000.0,True,True,True,True,True,True
5016.T,5016,ＪＸ金属,Prime,非鉄金属,,2026-09-07,360.0,3685.0,64404249140.0,17134905.0,92009291000.0,True,True,True,True,True,True
6525.T,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,Prime,電気機器,,2026-09-07,700.0,8929.0,64230845405.0,7441335.0,88595323800.0,True,True,True,True,True,True
7011.T,7011,三菱重工業,Prime,機械,,2026-09-07,2610.0,3829.0,62067967985.0,15428115.0,41538906500.0,True,True,True,True,True,True
6758.T,6758,ソニーグループ,Prime,電気機器,,2026-09-07,2610.0,3780.0,55939438405.0,14536220.0,54930204000.0,True,True,True,True,True,True
6501.T,6501,日立製作所,Prime,電気機器,,2026-09-07,2610.0,5358.0,54625430865.0,10025355.0,36800887200.0,True,True,True,True,True,True
5706.T,5706,三井金属,Prime,非鉄金属,,2026-09-07,2610.0,25800.0,51897817925.0,1832960.0,38581320000.0,True,True,True,True,True,True
5802.T,5802,住友電気工業,Prime,非鉄金属,,2026-09-07,2610.0,2201.5,43690184107.5,19420365.0,30047172750.0,True,True,True,True,True,True
3436.T,3436,ＳＵＭＣＯ,Prime,金属製品,,2026-09-07,2610.0,3315.0,43601474805.0,12400140.0,37381929000.0,True,True,True,True,True,True
6861.T,6861,キーエンス,Prime,電気機器,,2026-09-07,2610.0,78890.0,42829299300.0,520400.0,38624544000.0,True,True,True,True,True,True
5713.T,5713,住友金属鉱山,Prime,非鉄金属,,2026-09-07,2610.0,9939.0,40890810460.0,3903140.0,23249308800.0,True,True,True,True,True,True
8766.T,8766,東京海上ホールディングス,Prime,保険業,,2026-09-07,2610.0,7923.0,39180936050.0,5141610.0,31630200600.0,True,True,True,True,True,True
6723.T,6723,ルネサスエレクトロニクス,Prime,電気機器,,2026-09-07,2610.0,3403.0,37391916845.0,10689160.0,37559251300.0,True,True,True,True,True,True
8058.T,8058,三菱商事,Prime,卸売業,,2026-09-07,2610.0,4990.0,35329770205.0,7310270.0,36860132000.0,True,True,True,True,True,True
6752.T,6752,パナソニック　ホールディングス,Prime,電気機器,,2026-09-07,2610.0,4421.0,35031231330.0,7888775.0,34191129800.0,True,True,True,True,True,True
4063.T,4063,信越化学工業,Prime,化学,,2026-09-07,2610.0,5818.0,34215226210.0,5627335.0,32909517000.0,True,True,True,True,True,True
4004.T,4004,レゾナック・ホールディングス,Prime,化学,,2026-09-07,2610.0,16580.0,33278923275.0,2035075.0,31694328000.0,True,True,True,True,True,True
8136.T,8136,サンリオ,Prime,卸売業,,2026-09-07,2610.0,1263.5,33023677562.5,26378360.0,20972710150.0,True,True,True,True,True,True
7013.T,7013,ＩＨＩ,Prime,機械,,2026-09-07,2610.0,2730.5,32869227995.0,11854635.0,35753440050.0,True,True,True,True,True,True
6701.T,6701,日本電気,Prime,電気機器,,2026-09-07,2610.0,4610.0,32416254825.0,6745315.0,32813519000.0,True,True,True,True,True,True
3103.T,3103,ユニチカ,Prime,繊維製品,,2026-09-07,2610.0,1424.0,32300303155.0,21307085.0,12556689600.0,True,True,True,True,True,True
6954.T,6954,ファナック,Prime,電気機器,,2026-09-07,2610.0,6011.0,32250902620.0,5220630.0,22805132900.0,True,True,True,True,True,True
7936.T,7936,アシックス,Prime,その他製品,,2026-09-07,2610.0,4164.0,31507861165.0,6638030.0,30713247600.0,True,True,True,True,True,True
6503.T,6503,三菱電機,Prime,電気機器,,2026-09-07,2610.0,5385.0,30354196625.0,5379080.0,30508717500.0,True,True,True,True,True,True
7012.T,7012,川崎重工業,Prime,輸送用機器,,2026-09-07,2610.0,2488.0,29361485817.5,11154625.0,27981789600.0,True,True,True,True,True,True
8031.T,8031,三井物産,Prime,卸売業,,2026-09-07,2610.0,5099.0,28405733200.0,5708155.0,26915071500.0,True,True,True,True,True,True
7735.T,7735,ＳＣＲＥＥＮホールディングス,Prime,電気機器,,2026-09-07,2610.0,13515.0,28285636250.0,2093030.0,18306067500.0,True,True,True,True,True,True
5401.T,5401,日本製鉄,Prime,鉄鋼,,2026-09-07,2610.0,697.5,27973441670.014038,40942085.0,33591321000.0,True,True,True,True,True,True
7267.T,7267,本田技研工業,Prime,輸送用機器,,2026-09-07,2610.0,1695.0,27222948212.5,16040530.0,15554845500.0,True,True,True,True,True,True
8001.T,8001,伊藤忠商事,Prime,卸売業,,2026-09-07,2610.0,2264.5,27068828060.0,12787980.0,40615392650.0,True,True,True,True,True,True
9104.T,9104,商船三井,Prime,海運業,,2026-09-07,2610.0,7164.0,25588456560.0,3687290.0,24053130000.0,True,True,True,True,True,True
9433.T,9433,ＫＤＤＩ,Prime,情報・通信業,,2026-09-07,2610.0,2961.0,25328153292.5,8742055.0,15202958400.0,True,True,True,True,True,True
6367.T,6367,ダイキン工業,Prime,機械,,2026-09-07,2610.0,20660.0,24337072700.0,1156250.0,21521522000.0,True,True,True,True,True,True
9101.T,9101,日本郵船,Prime,海運業,,2026-09-07,2610.0,7420.0,24256565065.0,3508745.0,23434586000.0,True,True,True,True,True,True
7741.T,7741,ＨＯＹＡ,Prime,精密機器,,2026-09-07,2610.0,24145.0,24119896625.0,962890.0,28283453000.0,True,True,True,True,True,True
6762.T,6762,ＴＤＫ,Prime,電気機器,,2026-09-07,2610.0,2980.5,24081316177.5,7893165.0,26983956750.0,True,True,True,True,True,True
6702.T,6702,富士通,Prime,電気機器,,2026-09-07,2610.0,3831.0,22625079740.0,5998435.0,19545378900.0,True,True,True,True,True,True
2914.T,2914,日本たばこ産業,Prime,食料品,,2026-09-07,2610.0,6736.0,22403529245.0,3219405.0,21634684800.0,True,True,True,True,True,True
8308.T,8308,りそなホールディングス,Prime,銀行業,,2026-09-07,2610.0,2542.5,21997535692.5,8960600.0,16238947500.0,True,True,True,True,True,True
4502.T,4502,武田薬品工業,Prime,医薬品,,2026-09-07,2610.0,5777.0,21611964000.0,3761345.0,13846891300.0,True,True,True,True,True,True
9501.T,9501,東京電力ホールディングス,Prime,電気・ガス業,,2026-09-07,2610.0,564.0,21156578721.133423,39256840.0,25809542400.0,True,True,True,True,True,True
8591.T,8591,オリックス,Prime,その他金融業,,2026-09-07,2610.0,6201.0,20931437950.0,3344035.0,13190767200.0,True,True,True,True,True,True
6273.T,6273,ＳＭＣ,Prime,機械,,2026-09-07,2610.0,68590.0,20636395250.0,284120.0,14595952000.0,True,True,True,True,True,True
8725.T,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,Prime,保険業,,2026-09-07,2610.0,5149.0,20068227320.0,4010060.0,16196179500.0,True,True,True,True,True,True
7182.T,7182,ゆうちょ銀行,Prime,銀行業,,2026-09-07,2610.0,3341.0,19502499265.0,5959400.0,13937649700.0,True,True,True,True,True,True
1605.T,1605,ＩＮＰＥＸ,Prime,鉱業,,2026-09-07,2610.0,3788.0,19211884830.0,4993355.0,18140732000.0,True,True,True,True,True,True
8002.T,8002,丸紅,Prime,卸売業,,2026-09-07,2610.0,5146.0,19208957940.0,3855195.0,19814158400.0,True,True,True,True,True,True
6871.T,6871,日本マイクロニクス,Prime,電気機器,,2026-09-07,2610.0,12920.0,18961796550.0,1377165.0,14606060000.0,True,True,True,True,True,True
3110.T,3110,日東紡績,Prime,ガラス・土石製品,,2026-09-07,2610.0,3115.0,18667578660.0,6052760.0,15370344500.0,True,True,True,True,True,True
4901.T,4901,富士フイルムホールディングス,Prime,化学,,2026-09-07,2610.0,3239.0,18667075725.0,5732180.0,10594121200.0,True,True,True,True,True,True
6301.T,6301,小松製作所,Prime,機械,,2026-09-07,2610.0,7576.0,18333143660.0,2495195.0,14331519200.0,True,True,True,True,True,True
3382.T,3382,セブン＆アイ・ホールディングス,Prime,小売業,,2026-09-07,2610.0,2039.5,18298790242.5,8993075.0,13132136550.0,True,True,True,True,True,True
5711.T,5711,三菱マテリアル,Prime,非鉄金属,,2026-09-07,2610.0,5261.0,18268019500.0,3320610.0,10012209100.0,True,True,True,True,True,True
9107.T,9107,川崎汽船,Prime,海運業,,2026-09-07,2610.0,3425.0,18164161282.5,5589525.0,13319140000.0,True,True,True,True,True,True
6361.T,6361,荏原製作所,Prime,機械,,2026-09-07,2610.0,4598.0,18114881380.0,3588180.0,11120722800.0,True,True,True,True,True,True
