ticker,code,name,market,sector33,size,last_date,bars,last_close,adv_jpy,adv_shares,turnover_last,ok_adv,ok_price,ok_history,ok_split,ok_fresh,passes
285A.T,285A,キオクシアホールディングス,Prime,電気機器,,2026-09-17,426.0,49880.0,1603893975400.0,30382155.0,1252406992000.0,True,True,True,True,True,True
9984.T,9984,ソフトバンクグループ,Prime,情報・通信業,,2026-09-17,2618.0,6247.0,336543115095.0,56105905.0,389090646800.0,True,True,True,True,True,True
6857.T,6857,アドバンテスト,Prime,電気機器,,2026-09-17,2618.0,30240.0,283880107600.0,8535150.0,218738016000.0,True,True,True,True,True,True
6976.T,6976,太陽誘電,Prime,電気機器,,2026-09-17,2618.0,9000.0,253645961555.0,27663155.0,234174600000.0,True,True,True,True,True,True
5803.T,5803,フジクラ,Prime,非鉄金属,,2026-09-17,2618.0,4867.0,220247434900.0,42483950.0,147151798200.0,True,True,True,True,True,True
4062.T,4062,イビデン,Prime,電気機器,,2026-09-17,2618.0,18475.0,154705738525.0,7695820.0,160050772500.0,True,True,True,True,True,True
8035.T,8035,東京エレクトロン,Prime,電気機器,,2026-09-17,2618.0,50970.0,149889661900.0,2792380.0,142461150000.0,True,True,True,True,True,True
6981.T,6981,村田製作所,Prime,電気機器,,2026-09-17,2618.0,7431.0,146623824935.0,20201615.0,139794201300.0,True,True,True,True,True,True
8306.T,8306,三菱ＵＦＪフィナンシャル・グループ,Prime,銀行業,,2026-09-17,2618.0,3652.0,134909739190.0,36823675.0,141502583200.0,True,True,True,True,True,True
6920.T,6920,レーザーテック,Prime,電気機器,,2026-09-17,2618.0,35960.0,101801827950.0,2928285.0,135436148000.0,True,True,True,True,True,True
5801.T,5801,古河電気工業,Prime,非鉄金属,,2026-09-17,2618.0,3763.0,90113815035.0,23197915.0,87513080600.0,True,True,True,True,True,True
278A.T,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,Growth,精密機器,,2026-09-17,439.0,19010.0,78251952550.0,4109130.0,33394867000.0,True,True,True,True,True,True
8316.T,8316,三井住友フィナンシャルグループ,Prime,銀行業,,2026-09-17,2618.0,6878.0,76008183840.0,11016955.0,70403208000.0,True,True,True,True,True,True
6146.T,6146,ディスコ,Prime,機械,,2026-09-17,2618.0,50590.0,75475125150.0,1352690.0,70841177000.0,True,True,True,True,True,True
6098.T,6098,リクルートホールディングス,Prime,サービス業,,2026-09-17,2618.0,17445.0,73247108825.0,4406735.0,66802138500.0,True,True,True,True,True,True
7203.T,7203,トヨタ自動車,Prime,輸送用機器,,2026-09-17,2618.0,3034.0,69912211332.5,22714535.0,63500406400.0,True,True,True,True,True,True
8411.T,8411,みずほフィナンシャルグループ,Prime,銀行業,,2026-09-17,2618.0,8549.0,69623445430.0,8133530.0,64008927700.0,True,True,True,True,True,True
7974.T,7974,任天堂,Prime,その他製品,,2026-09-17,2618.0,8475.0,68688416660.0,7991885.0,64787137500.0,True,True,True,True,True,True
9983.T,9983,ファーストリテイリング,Prime,小売業,,2026-09-17,2618.0,67700.0,67736112700.0,977475.0,50896860000.0,True,True,True,True,True,True
