ticker,code,name,market,sector33,size,last_date,bars,last_close,adv_jpy,adv_shares,turnover_last,ok_adv,ok_price,ok_history,ok_split,ok_fresh,passes
285A.T,285A,キオクシアホールディングス,プライム（内国株式）,電気機器,TOPIX Mid400,2026-09-02,415.0,51000.0,2036139893800.0,39097120.0,1336388700000.0,True,True,True,True,True,True
5803.T,5803,フジクラ,プライム（内国株式）,非鉄金属,TOPIX Large70,2026-09-02,2607.0,5090.0,347736906785.0,64157775.0,205290898000.0,True,True,True,True,True,True
6857.T,6857,アドバンテスト,プライム（内国株式）,電気機器,TOPIX Core30,2026-09-02,2607.0,32540.0,281968934700.0,8117125.0,246536056000.0,True,True,True,True,True,True
6976.T,6976,太陽誘電,プライム（内国株式）,電気機器,TOPIX Mid400,2026-09-02,2607.0,8858.0,245607275460.0,25188045.0,183047912600.0,True,True,True,True,True,True
9984.T,9984,ソフトバンクグループ,プライム（内国株式）,情報・通信業,TOPIX Core30,2026-09-02,2607.0,4924.0,194758746730.0,35803680.0,170358090000.0,True,True,True,True,True,True
6981.T,6981,村田製作所,プライム（内国株式）,電気機器,TOPIX Large70,2026-09-02,2607.0,6920.0,187171492260.0,24927320.0,149751568000.0,True,True,True,True,True,True
8035.T,8035,東京エレクトロン,プライム（内国株式）,電気機器,TOPIX Core30,2026-09-02,2607.0,53110.0,162415420550.0,2887260.0,164279852000.0,True,True,True,True,True,True
4062.T,4062,イビデン,プライム（内国株式）,電気機器,TOPIX Mid400,2026-09-02,2607.0,20205.0,160041374825.0,7953685.0,129437271000.0,True,True,True,True,True,True
5801.T,5801,古河電気工業,プライム（内国株式）,非鉄金属,TOPIX Mid400,2026-09-02,2607.0,3752.0,133873471595.0,33685000.0,66110615200.0,True,True,True,True,True,True
8306.T,8306,三菱ＵＦＪフィナンシャル・グループ,プライム（内国株式）,銀行業,TOPIX Core30,2026-09-02,2607.0,3684.0,125955878865.0,34993780.0,158652933600.0,True,True,True,True,True,True
6920.T,6920,レーザーテック,プライム（内国株式）,電気機器,TOPIX Large70,2026-09-02,2607.0,32350.0,102409848400.0,2723480.0,57874150000.0,True,True,True,True,True,True
7974.T,7974,任天堂,プライム（内国株式）,その他製品,TOPIX Core30,2026-09-02,2607.0,8821.0,86679610735.0,10113640.0,81042937500.0,True,True,True,True,True,True
6146.T,6146,ディスコ,プライム（内国株式）,機械,TOPIX Large70,2026-09-02,2607.0,55170.0,84503168800.0,1384435.0,81425403000.0,True,True,True,True,True,True
7203.T,7203,トヨタ自動車,プライム（内国株式）,輸送用機器,TOPIX Core30,2026-09-02,2607.0,3133.0,76253385597.5,25012665.0,83943408900.0,True,True,True,True,True,True
8316.T,8316,三井住友フィナンシャルグループ,プライム（内国株式）,銀行業,TOPIX Core30,2026-09-02,2607.0,6971.0,71709022495.0,10548240.0,84689284800.0,True,True,True,True,True,True
5016.T,5016,ＪＸ金属,プライム（内国株式）,非鉄金属,TOPIX Mid400,2026-09-02,357.0,3660.0,71650278230.0,18585785.0,55869168000.0,True,True,True,True,True,True
