ticker,code,name,market,sector33,size,last_date,bars,last_close,adv_jpy,adv_shares,turnover_last,ok_adv,ok_price,ok_history,ok_split,ok_fresh,passes
285A.T,285A,キオクシアホールディングス,Prime,電気機器,,2026-09-11,422.0,54030.0,1865252120800.0,34610160.0,1515600933000.0,True,True,True,True,True,True
9984.T,9984,ソフトバンクグループ,Prime,情報・通信業,,2026-09-11,2614.0,6540.0,297735263565.0,50570455.0,451531410000.0,True,True,True,True,True,True
6857.T,6857,アドバンテスト,Prime,電気機器,,2026-09-11,2614.0,31720.0,293941245200.0,8591005.0,351984152000.0,True,True,True,True,True,True
5803.T,5803,フジクラ,Prime,非鉄金属,,2026-09-11,2614.0,4982.0,266640508310.0,49723525.0,191290864800.0,True,True,True,True,True,True
6976.T,6976,太陽誘電,Prime,電気機器,,2026-09-11,2614.0,9209.0,244893168355.0,26246845.0,290034692300.0,True,True,True,True,True,True
8035.T,8035,東京エレクトロン,Prime,電気機器,,2026-09-11,2614.0,51460.0,157183055600.0,2871520.0,198259942000.0,True,True,True,True,True,True
4062.T,4062,イビデン,Prime,電気機器,,2026-09-11,2614.0,19560.0,155943106100.0,7651415.0,165458040000.0,True,True,True,True,True,True
6981.T,6981,村田製作所,Prime,電気機器,,2026-09-11,2614.0,7352.0,154034067355.0,21108200.0,173316783200.0,True,True,True,True,True,True
8306.T,8306,三菱ＵＦＪフィナンシャル・グループ,Prime,銀行業,,2026-09-11,2614.0,3661.0,133087262995.0,36571370.0,187077832200.0,True,True,True,True,True,True
5801.T,5801,古河電気工業,Prime,非鉄金属,,2026-09-11,2614.0,3981.0,101920027175.0,25779020.0,92510079900.0,True,True,True,True,True,True
6920.T,6920,レーザーテック,Prime,電気機器,,2026-09-11,2614.0,34570.0,97736976050.0,2799770.0,104066071000.0,True,True,True,True,True,True
6146.T,6146,ディスコ,Prime,機械,,2026-09-11,2614.0,51980.0,77184849650.0,1338260.0,74372984000.0,True,True,True,True,True,True
278A.T,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,Growth,精密機器,,2026-09-11,435.0,21000.0,75325856650.0,4023775.0,41905500000.0,True,True,True,True,True,True
8316.T,8316,三井住友フィナンシャルグループ,Prime,銀行業,,2026-09-11,2614.0,6911.0,75026412840.0,10934450.0,100315238300.0,True,True,True,True,True,True
7974.T,7974,任天堂,Prime,その他製品,,2026-09-11,2614.0,8093.0,72800341450.0,8386070.0,80562577800.0,True,True,True,True,True,True
7203.T,7203,トヨタ自動車,Prime,輸送用機器,,2026-09-11,2614.0,3031.0,71179086587.5,23152750.0,82692954400.0,True,True,True,True,True,True
9983.T,9983,ファーストリテイリング,Prime,小売業,,2026-09-11,2614.0,66480.0,71138763850.0,1004600.0,98024760000.0,True,True,True,True,True,True
8411.T,8411,みずほフィナンシャルグループ,Prime,銀行業,,2026-09-11,2614.0,8654.0,70720886675.0,8326570.0,95136883600.0,True,True,True,True,True,True
6098.T,6098,リクルートホールディングス,Prime,サービス業,,2026-09-11,2614.0,15500.0,67282451950.0,4088060.0,75133150000.0,True,True,True,True,True,True
5016.T,5016,ＪＸ金属,Prime,非鉄金属,,2026-09-11,364.0,3695.0,66288043970.0,17692575.0,60423226500.0,True,True,True,True,True,True
6525.T,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,Prime,電気機器,,2026-09-11,704.0,8162.0,65304587930.0,7600480.0,62934733400.0,True,True,True,True,True,True
7011.T,7011,三菱重工業,Prime,機械,,2026-09-11,2614.0,3705.0,57872011145.0,14708560.0,50944861500.0,True,True,True,True,True,True
6758.T,6758,ソニーグループ,Prime,電気機器,,2026-09-11,2614.0,3632.0,53109093200.0,13918090.0,52562667200.0,True,True,True,True,True,True
6501.T,6501,日立製作所,Prime,電気機器,,2026-09-11,2614.0,5199.0,50840550720.0,9505660.0,50752118100.0,True,True,True,True,True,True
5706.T,5706,三井金属,Prime,非鉄金属,,2026-09-11,2614.0,23240.0,42782302250.0,1561375.0,43377460000.0,True,True,True,True,True,True
6861.T,6861,キーエンス,Prime,電気機器,,2026-09-11,2614.0,76000.0,41245227350.0,515895.0,60480800000.0,True,True,True,True,True,True
8766.T,8766,東京海上ホールディングス,Prime,保険業,,2026-09-11,2614.0,7970.0,39921159140.0,5212450.0,50845412000.0,True,True,True,True,True,True
5802.T,5802,住友電気工業,Prime,非鉄金属,,2026-09-11,2614.0,2077.5,39278497527.5,17770270.0,30287457000.0,True,True,True,True,True,True
3436.T,3436,ＳＵＭＣＯ,Prime,金属製品,,2026-09-11,2614.0,2959.0,38790553460.0,11509585.0,34304870600.0,True,True,True,True,True,True
8058.T,8058,三菱商事,Prime,卸売業,,2026-09-11,2614.0,5005.0,36963367010.0,7592370.0,48909360500.0,True,True,True,True,True,True
6723.T,6723,ルネサスエレクトロニクス,Prime,電気機器,,2026-09-11,2614.0,3192.0,36226765205.0,10642840.0,32311977600.0,True,True,True,True,True,True
4063.T,4063,信越化学工業,Prime,化学,,2026-09-11,2614.0,5738.0,35013357990.0,5898290.0,43947342000.0,True,True,True,True,True,True
5713.T,5713,住友金属鉱山,Prime,非鉄金属,,2026-09-11,2614.0,9484.0,34255843940.0,3229410.0,34005830400.0,True,True,True,True,True,True
6752.T,6752,パナソニック　ホールディングス,Prime,電気機器,,2026-09-11,2614.0,4200.0,33140458180.0,7613460.0,34128360000.0,True,True,True,True,True,True
7013.T,7013,ＩＨＩ,Prime,機械,,2026-09-11,2614.0,2665.0,31802707212.5,11689710.0,32742456500.0,True,True,True,True,True,True
8001.T,8001,伊藤忠商事,Prime,卸売業,,2026-09-11,2614.0,2294.0,31173288107.5,14388585.0,46005252400.0,True,True,True,True,True,True
6701.T,6701,日本電気,Prime,電気機器,,2026-09-11,2614.0,4536.0,30584339730.0,6472595.0,22910882400.0,True,True,True,True,True,True
6503.T,6503,三菱電機,Prime,電気機器,,2026-09-11,2614.0,5027.0,29785902900.0,5464410.0,30983914500.0,True,True,True,True,True,True
8031.T,8031,三井物産,Prime,卸売業,,2026-09-11,2614.0,5060.0,29737702305.0,5925250.0,39428026000.0,True,True,True,True,True,True
6954.T,6954,ファナック,Prime,電気機器,,2026-09-11,2614.0,5735.0,28810507670.0,4815185.0,41374584000.0,True,True,True,True,True,True
4004.T,4004,レゾナック・ホールディングス,Prime,化学,,2026-09-11,2614.0,14295.0,28751780000.0,1803580.0,41960113500.0,True,True,True,True,True,True
7012.T,7012,川崎重工業,Prime,輸送用機器,,2026-09-11,2614.0,2319.0,28429212915.0,11194700.0,26644382400.0,True,True,True,True,True,True
5401.T,5401,日本製鉄,Prime,鉄鋼,,2026-09-11,2614.0,686.4000244140625,27044681447.130432,39596765.0,16289370819.384766,True,True,True,True,True,True
7267.T,7267,本田技研工業,Prime,輸送用機器,,2026-09-11,2614.0,1664.0,26929783615.0,15928270.0,23654758400.0,True,True,True,True,True,True
3103.T,3103,ユニチカ,Prime,繊維製品,,2026-09-11,2614.0,1470.0,26812128275.0,17337420.0,6334524000.0,True,True,True,True,True,True
7936.T,7936,アシックス,Prime,その他製品,,2026-09-11,2614.0,3989.0,26774292960.0,6013315.0,20065467800.0,True,True,True,True,True,True
9104.T,9104,商船三井,Prime,海運業,,2026-09-11,2614.0,7046.0,25557405840.0,3623580.0,26190686600.0,True,True,True,True,True,True
7741.T,7741,ＨＯＹＡ,Prime,精密機器,,2026-09-11,2614.0,22690.0,25273580900.0,1036265.0,27302877000.0,True,True,True,True,True,True
7735.T,7735,ＳＣＲＥＥＮホールディングス,Prime,電気機器,,2026-09-11,2614.0,12255.0,25190309900.0,1895195.0,22680328500.0,True,True,True,True,True,True
6762.T,6762,ＴＤＫ,Prime,電気機器,,2026-09-11,2614.0,2808.5,25112932397.5,8475715.0,34225785250.0,True,True,True,True,True,True
9101.T,9101,日本郵船,Prime,海運業,,2026-09-11,2614.0,7262.0,24684902315.0,3496560.0,20122275800.0,True,True,True,True,True,True
9433.T,9433,ＫＤＤＩ,Prime,情報・通信業,,2026-09-11,2614.0,3031.0,24081698997.5,8206060.0,34928031600.0,True,True,True,True,True,True
8136.T,8136,サンリオ,Prime,卸売業,,2026-09-11,2614.0,1188.5,23635136355.0,19182710.0,17542735400.0,True,True,True,True,True,True
8308.T,8308,りそなホールディングス,Prime,銀行業,,2026-09-11,2614.0,2522.0,22956631607.5,9281910.0,34687588000.0,True,True,True,True,True,True
