ticker,code,name,market,sector33,size,last_date,bars,last_close,adv_jpy,adv_shares,turnover_last,ok_adv,ok_price,ok_history,ok_split,ok_fresh,passes
285A.T,285A,キオクシアホールディングス,Prime,電気機器,,2026-09-15,424.0,51750.0,1710283619800.0,32398965.0,1503880875000.0,True,True,True,True,True,True
9984.T,9984,ソフトバンクグループ,Prime,情報・通信業,,2026-09-15,2616.0,6279.0,318877789345.0,53894575.0,505677381300.0,True,True,True,True,True,True
6857.T,6857,アドバンテスト,Prime,電気機器,,2026-09-15,2616.0,30160.0,294852433300.0,8755255.0,254677072000.0,True,True,True,True,True,True
6976.T,6976,太陽誘電,Prime,電気機器,,2026-09-15,2616.0,9197.0,251175522125.0,27276610.0,317074852300.0,True,True,True,True,True,True
5803.T,5803,フジクラ,Prime,非鉄金属,,2026-09-15,2616.0,4744.0,240204925090.0,45972025.0,149316451200.0,True,True,True,True,True,True
4062.T,4062,イビデン,Prime,電気機器,,2026-09-15,2616.0,19115.0,155890743275.0,7726160.0,135850305000.0,True,True,True,True,True,True
8035.T,8035,東京エレクトロン,Prime,電気機器,,2026-09-15,2616.0,50650.0,154912071350.0,2870945.0,181747395000.0,True,True,True,True,True,True
6981.T,6981,村田製作所,Prime,電気機器,,2026-09-15,2616.0,7399.0,149194557180.0,20624560.0,151555196800.0,True,True,True,True,True,True
8306.T,8306,三菱ＵＦＪフィナンシャル・グループ,Prime,銀行業,,2026-09-15,2616.0,3668.0,136762099110.0,37534140.0,152717546800.0,True,True,True,True,True,True
6920.T,6920,レーザーテック,Prime,電気機器,,2026-09-15,2616.0,35590.0,99294389550.0,2863930.0,113888000000.0,True,True,True,True,True,True
5801.T,5801,古河電気工業,Prime,非鉄金属,,2026-09-15,2616.0,3719.0,95320997015.0,24553690.0,85383777200.0,True,True,True,True,True,True
8316.T,8316,三井住友フィナンシャルグループ,Prime,銀行業,,2026-09-15,2616.0,6842.0,77306424950.0,11261745.0,90031141200.0,True,True,True,True,True,True
278A.T,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,Growth,精密機器,,2026-09-15,437.0,18980.0,77203658800.0,4080695.0,42295032000.0,True,True,True,True,True,True
6146.T,6146,ディスコ,Prime,機械,,2026-09-15,2616.0,51400.0,76560177300.0,1349645.0,51019640000.0,True,True,True,True,True,True
7203.T,7203,トヨタ自動車,Prime,輸送用機器,,2026-09-15,2616.0,3021.0,72730064972.5,23662865.0,60295836900.0,True,True,True,True,True,True
8411.T,8411,みずほフィナンシャルグループ,Prime,銀行業,,2026-09-15,2616.0,8598.0,71088497180.0,8354450.0,73266137400.0,True,True,True,True,True,True
7974.T,7974,任天堂,Prime,その他製品,,2026-09-15,2616.0,8118.0,71085775575.0,8245125.0,62394948000.0,True,True,True,True,True,True
6098.T,6098,リクルートホールディングス,Prime,サービス業,,2026-09-15,2616.0,16845.0,70419096175.0,4268225.0,75930522000.0,True,True,True,True,True,True
9983.T,9983,ファーストリテイリング,Prime,小売業,,2026-09-15,2616.0,66620.0,69083005650.0,986545.0,50158198000.0,True,True,True,True,True,True
6525.T,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,Prime,電気機器,,2026-09-15,706.0,8228.0,65696944290.0,7716760.0,64321567200.0,True,True,True,True,True,True
5016.T,5016,ＪＸ金属,Prime,非鉄金属,,2026-09-15,366.0,3654.0,64064033300.0,17221385.0,50346639000.0,True,True,True,True,True,True
7011.T,7011,三菱重工業,Prime,機械,,2026-09-15,2616.0,3701.0,58356135105.0,15162305.0,133604249500.0,True,True,True,True,True,True
6758.T,6758,ソニーグループ,Prime,電気機器,,2026-09-15,2616.0,3725.0,52928481245.0,13867020.0,42726122500.0,True,True,True,True,True,True
6501.T,6501,日立製作所,Prime,電気機器,,2026-09-15,2616.0,5221.0,49650304550.0,9333600.0,45869617600.0,True,True,True,True,True,True
8766.T,8766,東京海上ホールディングス,Prime,保険業,,2026-09-15,2616.0,8079.0,41431768330.0,5354490.0,41538986400.0,True,True,True,True,True,True
6861.T,6861,キーエンス,Prime,電気機器,,2026-09-15,2616.0,75660.0,40488730350.0,512790.0,33585474000.0,True,True,True,True,True,True
5706.T,5706,三井金属,Prime,非鉄金属,,2026-09-15,2616.0,22805.0,39842776950.0,1497485.0,25454941000.0,True,True,True,True,True,True
5802.T,5802,住友電気工業,Prime,非鉄金属,,2026-09-15,2616.0,1995.0,37292663570.0,17301235.0,36123265500.0,True,True,True,True,True,True
8058.T,8058,三菱商事,Prime,卸売業,,2026-09-15,2616.0,4910.0,37235185365.0,7620980.0,31551169000.0,True,True,True,True,True,True
3436.T,3436,ＳＵＭＣＯ,Prime,金属製品,,2026-09-15,2616.0,2900.5,36891245447.5,11307045.0,31046661950.0,True,True,True,True,True,True
