ticker,code,name,market,sector33,size,last_date,bars,last_close,adv_jpy,adv_shares,turnover_last,ok_adv,ok_price,ok_history,ok_split,ok_fresh,passes
285A.T,285A,キオクシアホールディングス,Prime,電気機器,,2026-09-04,417.0,54460.0,1964453598500.0,37650830.0,1662505866000.0,True,True,True,True,True,True
5803.T,5803,フジクラ,Prime,非鉄金属,,2026-09-04,2609.0,5053.0,340361509190.0,62485520.0,174661492700.0,True,True,True,True,True,True
6857.T,6857,アドバンテスト,Prime,電気機器,,2026-09-04,2609.0,33090.0,279124157300.0,8048605.0,247013541000.0,True,True,True,True,True,True
6976.T,6976,太陽誘電,Prime,電気機器,,2026-09-04,2609.0,9426.0,246582006105.0,25631940.0,298932393600.0,True,True,True,True,True,True
9984.T,9984,ソフトバンクグループ,Prime,情報・通信業,,2026-09-04,2609.0,5590.0,194039567910.0,36095480.0,434922124000.0,True,True,True,True,True,True
6981.T,6981,村田製作所,Prime,電気機器,,2026-09-04,2609.0,7191.0,171197911550.0,22970430.0,142092721800.0,True,True,True,True,True,True
8035.T,8035,東京エレクトロン,Prime,電気機器,,2026-09-04,2609.0,53320.0,157017624550.0,2809260.0,138610672000.0,True,True,True,True,True,True
4062.T,4062,イビデン,Prime,電気機器,,2026-09-04,2609.0,20475.0,155705719225.0,7709725.0,162583785000.0,True,True,True,True,True,True
8306.T,8306,三菱ＵＦＪフィナンシャル・グループ,Prime,銀行業,,2026-09-04,2609.0,3785.0,132317313270.0,36462595.0,202911579000.0,True,True,True,True,True,True
5801.T,5801,古河電気工業,Prime,非鉄金属,,2026-09-04,2609.0,3844.0,120827284785.0,30427490.0,78560596800.0,True,True,True,True,True,True
6920.T,6920,レーザーテック,Prime,電気機器,,2026-09-04,2609.0,33180.0,100956907300.0,2797110.0,106653792000.0,True,True,True,True,True,True
7974.T,7974,任天堂,Prime,その他製品,,2026-09-04,2609.0,8839.0,86156444690.0,9942665.0,49296870800.0,True,True,True,True,True,True
