棄却日,コード,銘柄名,ゲート,理由,棄却時終値
2026-07-10,3480,ジェイ・エス・ビー,上限,実保有上限3銘柄に到達,8990.0
2026-07-10,5334,日本特殊陶業,上限,実保有上限3銘柄に到達,10505.0
2026-07-10,9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,上限,実保有上限3銘柄に到達,5344.0
2026-07-10,7966,リンテック,上限,実保有上限3銘柄に到達,6640.0
2026-07-10,5301,東海カーボン,上限,実保有上限3銘柄に到達,1678.0
2026-07-10,3099,三越伊勢丹ホールディングス,上限,実保有上限3銘柄に到達,3917.0
2026-07-10,3101,東洋紡,上限,実保有上限3銘柄に到達,1748.0
2026-07-10,1979,大氣社,上限,実保有上限3銘柄に到達,4755.0
2026-07-10,4021,日産化学,上限,実保有上限3銘柄に到達,8225.0
2026-07-10,2531,宝ホールディングス,上限,実保有上限3銘柄に到達,2113.0
2026-07-10,3407,旭化成,上限,実保有上限3銘柄に到達,1856.0
2026-07-10,3132,マクニカホールディングス,上限,実保有上限3銘柄に到達,3287.0
2026-07-10,2175,エス・エム・エス,上限,実保有上限3銘柄に到達,2331.0
2026-07-10,2264,森永乳業,上限,実保有上限3銘柄に到達,1265.0
2026-07-10,1860,戸田建設,上限,実保有上限3銘柄に到達,1576.5
2026-07-10,9502,中部電力,上限,実保有上限3銘柄に到達,3226.0
2026-07-10,4203,住友ベークライト,上限,実保有上限3銘柄に到達,7276.0
2026-07-10,166A,タスキホールディングス,上限,実保有上限3銘柄に到達,1110.0
2026-07-10,2579,コカ・コーラ　ボトラーズジャパンホールディングス,上限,実保有上限3銘柄に到達,4072.0
2026-07-10,3941,レンゴー,上限,実保有上限3銘柄に到達,1405.0
2026-07-10,5208,有沢製作所,上限,実保有上限3銘柄に到達,2521.0
2026-07-10,2802,味の素,上限,実保有上限3銘柄に到達,5711.0
2026-07-10,4631,ＤＩＣ,上限,実保有上限3銘柄に到達,4697.0
2026-07-10,4205,日本ゼオン,上限,実保有上限3銘柄に到達,2275.0
2026-07-10,1944,きんでん,上限,実保有上限3銘柄に到達,7702.0
2026-07-12,1909,日本ドライケミカル,TOB疑い,41営業日前に単日+21%の急騰後、変動率が平常時の20%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認),3690.0
2026-07-12,1948,弘電社,TOB疑い,直近20営業日の変動率が、それ以前60営業日の5%まで持続的に低下(単日ジャンプは観測窓内で未検出だが、MBO/TOB等で価格が固定されている疑い・要確認),11410.0
2026-07-12,3480,ジェイ・エス・ビー,TOB疑い,直近15営業日の変動率が0.05%と極めて低い(絶対水準として値動きがほぼ無い。TOB/MBO等で価格が固定されている疑い・要確認),8990.0
2026-07-12,5202,日本板硝子,TOB疑い,74営業日前に単日+18%の急騰後、変動率が平常時の13%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認),482.0
2026-07-12,8283,ＰＡＬＴＡＣ,TOB疑い,42営業日前に単日+17%の急騰後、変動率が平常時の28%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認),6646.0
2026-07-13,1909,日本ドライケミカル,TOB疑い,41営業日前に単日+21%の急騰後、変動率が平常時の20%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認),3690.0
2026-07-13,1948,弘電社,TOB疑い,直近20営業日の変動率が、それ以前60営業日の5%まで持続的に低下(単日ジャンプは観測窓内で未検出だが、MBO/TOB等で価格が固定されている疑い・要確認),11410.0
2026-07-13,3480,ジェイ・エス・ビー,TOB疑い,直近15営業日の変動率が0.05%と極めて低い(絶対水準として値動きがほぼ無い。TOB/MBO等で価格が固定されている疑い・要確認),8990.0
2026-07-13,5202,日本板硝子,TOB疑い,74営業日前に単日+18%の急騰後、変動率が平常時の13%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認),482.0
2026-07-13,8283,ＰＡＬＴＡＣ,TOB疑い,42営業日前に単日+17%の急騰後、変動率が平常時の28%に急低下(公開買付/M&A等で価格が固定されている疑い・要確認),6646.0
