delivered_on,asof,ticker,name,sector33,pattern,neckline,close_t,atr_t,breakout_pct,pattern_low,height,target,breakout_h,up_pct,down_pct,rr,breakeven_win_rate,span,l1_date,l1,l2_date,l2,l3_date,l3,h1_date,h1,h2_date,h2,h3_date,h3,upper_slope,lower_slope,pole_pct,upper_scatter,adv_jpy,earnings_days,earnings_unknown
2026-09-13,2026-09-11,9434.T,ソフトバンク,情報・通信業,ascending_triangle,244.00000610351555,246.89999389648438,4.372249870170697,1.1885195575521923,230.60000610351562,13.39999999999992,257.40000610351547,0.2164169994752871,4.2527389496142876,-6.601858321552934,0.6441730104583537,0.6082084997376435,16,2026-08-20,230.60000610351562,2026-08-28,235.39999389648438,2026-09-08,236.10000610351562,2026-08-26,241.60000610351562,2026-09-02,242.60000610351562,,,0.0008261048944974809,0.0017697191545582886,,,16754325284.23416,,True
2026-09-13,2026-09-11,4661.T,オリエンタルランド,サービス業,ascending_triangle,3072.7499999999986,3085.0,81.20314244289634,0.39866569034257004,2819.5,253.24999999999864,3325.9999999999973,0.04837117472853477,7.811993517017735,-8.606158833063205,0.9077212806026261,0.5241855873642675,26,2026-08-05,2847.0,2026-08-18,2819.5,2026-09-02,2961.5,2026-08-10,3044.0,2026-08-27,3059.0,,,0.0004096346059314861,0.002240023536963686,,,14194606485.0,,True
2026-09-13,2026-09-11,5020.T,ＥＮＥＯＳホールディングス,石油・石炭製品,ascending_box,1347.3333333333333,1441.0,40.05165121139125,6.952003958436426,1265.0,82.33333333333326,1429.6666666666665,1.1376518218623501,-0.7864908628267497,-12.213740458015266,,,29,2026-08-03,1266.5,2026-08-10,1265.0,,,2026-07-31,1340.0,2026-08-07,1353.0,2026-08-25,1349.0,0.000304637131019821,-0.00023701362828362912,,0.5442850074220626,11233008510.0,,True
2026-09-13,2026-09-11,9502.T,中部電力,電気・ガス業,ascending_triangle,2959.062384473198,2992.0,90.31945944328871,1.1131098722227728,2563.0,396.0623844731981,3355.124768946396,0.08316269562082286,12.136523026283296,-14.338235294117652,0.8464446828587322,0.5415813478104115,33,2026-07-30,2563.0,2026-08-28,2830.0,,,2026-07-27,3050.0,2026-08-26,2968.5,2026-09-01,2999.0,-0.0008807581479224775,0.004950862228815294,,1.4693651233712175,8490026670.0,,True
2026-09-13,2026-09-11,7181.T,かんぽ生命保険,保険業,ascending_triangle,1751.805970149257,1767.5,44.53191239580692,0.895877175792803,1603.0,148.80597014925706,1900.6119402985141,0.10546639919756802,7.53108573117478,-9.306930693069305,0.8091911264347372,0.5527331995987838,24,2026-08-10,1603.0,2026-08-20,1614.0,,,2026-08-07,1788.0,2026-08-14,1714.0,2026-09-03,1762.0,-9.782016966825874e-05,0.0009769527954172272,,2.3176291793313113,3894280600.0,,True
2026-09-13,2026-09-11,9064.T,ヤマトホールディングス,陸運業,ascending_triangle,1968.9999999999986,1981.0,43.16414646655579,0.6094464195023575,1840.0,128.99999999999864,2097.9999999999973,0.09302325581396505,5.906108026249224,-7.117617364967188,0.8297872340425329,0.5465116279069828,25,2026-08-06,1840.0,2026-08-18,1878.5,2026-09-03,1905.0,2026-08-17,1988.0,2026-08-25,1982.0,,,-0.000503778337531478,0.0017549806302137572,,,2193060262.5,,True
2026-09-13,2026-09-11,8343.T,秋田銀行,銀行業,ascending_triangle,9079.999999999993,9440.0,342.81218841216327,3.9647577092511765,6930.0,2149.9999999999927,11229.999999999985,0.16744186046512022,18.961864406779515,-26.58898305084746,0.7131474103585602,0.58372093023256,29,2026-07-31,6930.0,2026-08-24,8150.0,2026-09-02,8600.0,2026-08-18,9200.0,2026-08-31,9140.0,,,-0.0007270083605961304,0.009725651608072853,,,1302428100.0,,True
2026-09-13,2026-09-11,5202.T,日本板硝子,ガラス・土石製品,inverse_hs,493.0,495.0,1.7797881134219888,0.40567951318457585,478.0,15.0,508.0,0.13333333333333333,2.626262626262621,-3.4343434343434343,0.7647058823529397,0.5666666666666671,38,2026-07-17,480.0,2026-08-12,478.0,2026-09-04,490.0,2026-07-30,484.0,2026-09-01,493.0,,,,,,,1173884375.0,,True
2026-09-13,2026-09-11,2371.T,カカクコム,サービス業,ascending_triangle,3714.2857142857156,3796.0,37.08878080967981,2.1999999999999575,3299.0,415.2857142857156,4129.571428571431,0.1967664258685893,8.787445431281116,-13.0927291886196,0.6711698764012699,0.5983832129342946,57,2026-06-22,3299.0,2026-08-24,3644.0,2026-09-07,3670.0,2026-08-14,3740.0,2026-09-03,3722.0,,,-0.0003446031320595931,0.0020649685026655476,,,882459465.0,,True
2026-09-13,2026-09-11,7777.T,スリー・ディー・マトリックス,精密機器,ascending_triangle,378.4210526315793,379.0,16.641463404758944,0.15299026425581452,355.0,23.4210526315793,401.8421052631586,0.02471910112358006,6.026940702680372,-6.33245382585752,0.9517543859649421,0.51235955056179,18,2026-08-21,355.0,2026-08-27,356.0,,,2026-08-18,389.0,2026-08-24,377.0,2026-09-01,384.0,-0.0009610983981692231,0.0007032348804502087,,1.6521739130434734,728173605.0,,True
2026-09-13,2026-09-11,8344.T,山形銀行,銀行業,ascending_triangle,4779.999999999999,4985.0,202.8526646335544,4.288702928870314,3600.0,1179.999999999999,5959.999999999998,0.17372881355932293,19.55867602808421,-27.783350050150446,0.7039711191335726,0.5868644067796616,28,2026-08-03,3600.0,2026-08-24,4205.0,2026-09-02,4415.0,2026-08-18,4780.0,2026-08-28,4780.0,,,-1.145813451462234e-17,0.009682187113797817,,,707052650.0,,True
