delivered_on,asof,ticker,resolved_on,horizon_days,n_bars,censored,entry_open,close_h,max_high,min_low,ret_h,broke_lp,broke_lp_day,reached_h0,reached_h0_day,recovered_sma5,recovered_sma5_day,success,up_pct,down_pct,rr,breakeven_win_rate
2026-09-07,2026-09-04,4768.T,2026-09-11,5,5,False,3607.0,3528.0,3612.0,3449.0,-0.021901857499306954,True,1,False,,True,5,False,0.009578544061302763,-0.033935413245758106,0.28225806451613117,0.7798742138364767
2026-09-07,2026-09-04,3076.T,2026-09-11,5,5,False,3010.0,2975.0,3040.0,2933.0,-0.011627906976744207,False,,True,1,True,4,True,0.006655574043261225,-0.0266222961730449,0.25,0.8
2026-09-07,2026-09-04,7839.T,2026-09-11,5,5,False,2132.0,2046.0,2143.0,2030.0,-0.040337711069418414,True,5,True,1,True,1,True,0.0113690194220748,-0.02984367598294646,0.38095238095237954,0.7241379310344834
2026-09-07,2026-09-04,3563.T,2026-09-11,5,5,False,5728.0,5171.0,5916.0,5127.0,-0.09724162011173187,True,1,False,,False,,False,0.018764530056459616,-0.042676851544337424,0.4396887159533067,0.6945945945945949
2026-09-07,2026-09-04,7550.T,2026-09-11,5,5,False,11855.0,11235.0,11920.0,11145.0,-0.052298608182201556,True,4,False,,True,2,False,0.009619406106231798,-0.04516938519447933,0.21296296296296494,0.8244274809160291
2026-09-07,2026-09-04,7516.T,2026-09-11,5,5,False,4495.0,4480.0,4510.0,4335.0,-0.0033370411568409697,True,4,False,,True,5,False,0.012235817575083408,-0.033370411568409364,0.36666666666666586,0.7317073170731712
2026-09-07,2026-09-04,8628.T,2026-09-11,5,5,False,1202.0,1181.0,1226.0,1173.0,-0.017470881863560717,True,1,True,2,True,2,False,0.014107883817427336,-0.020746887966805017,0.6799999999999964,0.5952380952380966
2026-09-07,2026-09-04,6345.T,2026-09-11,5,5,False,1478.0,1432.0,1478.0,1417.0,-0.03112313937753719,True,3,False,,True,1,False,0.010183299389002087,-0.020366598778004064,0.5000000000000028,0.6666666666666655
2026-09-07,2026-09-04,6869.T,2026-09-11,5,5,False,1934.0,1786.5,1939.0,1737.0,-0.07626680455015511,True,2,False,,False,,False,0.03311088295687892,-0.035677618069815176,0.928057553956837,0.5186567164179098
