delivered_on,asof,ticker,name,landing_ma,landing_ma_value,landing_dist_atr,lp,lp_date,h0_high,h0_date,close_t,atr_t,state,depth_pct,pullback_days,adv_jpy,sector33,a4_earnings_unknown,e1_skipped
2026-08-31,2026-08-31,4689.T,ＬＩＮＥヤフー,SMA5,541.339990234375,0.31427685592957716,545.7999877929688,2026-08-27,564.0,2026-08-26,557.9000244140625,14.19130131425624,ブレイク,0.03226952518977172,3,10402646226.414032,情報・通信業,True,True
2026-08-31,2026-08-31,2801.T,キッコーマン,SMA5,1822.5,0.6436456198738544,1790.5,2026-08-28,1867.5,2026-08-21,1842.0,49.7167991390535,反発開始,0.041231593038821956,6,6729379387.5,食料品,True,True
