delivered_on,asof,ticker,name,sector33,pattern,neckline,close_t,atr_t,breakout_pct,pattern_low,height,target,breakout_h,up_pct,down_pct,rr,breakeven_win_rate,span,l1_date,l1,l2_date,l2,l3_date,l3,h1_date,h1,h2_date,h2,h3_date,h3,upper_slope,lower_slope,pole_pct,upper_scatter,adv_jpy,earnings_days,earnings_unknown
2026-09-17,2026-09-16,9434.T,ソフトバンク,情報・通信業,ascending_triangle,244.60000610351545,248.8000030517578,4.474938535433624,1.7170878346032925,230.60000610351562,13.99999999999983,258.6000061035153,0.2999997820173149,3.9389079306879182,-7.315111223875692,0.538461796429256,0.6499998910086576,19,2026-08-20,230.60000610351562,2026-08-28,235.39999389648438,2026-09-08,236.10000610351562,2026-08-26,241.60000610351562,2026-09-02,242.60000610351562,,,0.0008261048944974809,0.0017697191545582886,,,17525873917.464447,,True
2026-09-17,2026-09-16,6787.T,メイコー,電気機器,ascending_triangle,19769.072847682124,22060.0,1545.9436753244804,11.58844003443733,16690.0,3079.072847682124,22848.14569536425,0.7440314879339242,3.5727366063655897,-24.3427017225748,0.14676828591513016,0.8720157439669619,21,2026-08-24,16690.0,2026-09-03,17280.0,,,2026-08-18,20210.0,2026-08-31,19920.0,2026-09-07,19960.0,-0.0009770113042357517,0.00434206652929027,,0.8986520219670495,9495134650.0,,True
2026-09-17,2026-09-16,9021.T,西日本旅客鉄道,陸運業,ascending_triangle,3015.999999999999,3048.0,52.758424982575896,1.061007957559723,2834.5,181.4999999999991,3197.499999999998,0.17630853994490947,4.90485564304457,-7.004593175853014,0.7002341920374642,0.588154269972454,24,2026-08-13,2834.5,2026-09-03,2971.0,2026-09-09,2974.0,2026-09-01,3049.0,2026-09-07,3037.0,,,-0.0009858692080183733,0.0026734735232463555,,,5500408142.5,,True
2026-09-17,2026-09-16,8304.T,あおぞら銀行,銀行業,ascending_triangle,3476.999999999999,3508.0,86.10370131777407,0.8915731952833239,2986.0,490.9999999999991,3967.999999999998,0.0631364562118146,13.112884834663575,-14.880273660205246,0.8812260536398432,0.5315682281059073,32,2026-07-31,2986.0,2026-08-21,3196.0,2026-09-10,3321.0,2026-08-17,3487.0,2026-09-01,3482.0,,,-0.0001304478273914433,0.0037770027510108384,,,4593972365.0,,True
2026-09-17,2026-09-16,9064.T,ヤマトホールディングス,陸運業,ascending_triangle,1965.9999999999986,1986.0,41.17679656961483,1.017293997965485,1840.0,125.99999999999864,2091.9999999999973,0.15873015873017127,5.337361530714868,-7.3514602215508535,0.7260273972602556,0.5793650793650855,28,2026-08-06,1840.0,2026-08-18,1878.5,2026-09-03,1905.0,2026-08-17,1988.0,2026-08-25,1982.0,,,-0.000503778337531478,0.0017549806302137572,,,2095465107.5,,True
2026-09-17,2026-09-16,8361.T,大垣共立銀行,銀行業,ascending_triangle,8373.846153846154,8490.0,275.4675762436264,1.3871027007165138,6780.0,1593.8461538461543,9967.692307692309,0.07287644787644759,17.405091963395858,-20.141342756183743,0.8641475483580751,0.5364382239382238,31,2026-08-03,6780.0,2026-08-25,7660.0,2026-09-09,7860.0,2026-08-18,8390.0,2026-09-04,8380.0,,,-9.173891105910639e-05,0.005723412284012134,,,1347343900.0,,True
2026-09-17,2026-09-16,5202.T,日本板硝子,ガラス・土石製品,inverse_hs,493.0,496.0,1.6243420135525182,0.6085192697768749,478.0,15.0,508.0,0.2,2.4193548387096753,-3.629032258064513,0.6666666666666666,0.6000000000000001,41,2026-07-17,480.0,2026-08-12,478.0,2026-09-04,490.0,2026-07-30,484.0,2026-09-01,493.0,,,,,,,1211609415.0,,True
2026-09-17,2026-09-16,8343.T,秋田銀行,銀行業,ascending_triangle,9059.999999999993,9460.0,347.87841761717294,4.415011037527683,6930.0,2129.9999999999927,11189.999999999985,0.18779342723005102,18.287526427061152,-26.74418604651163,0.683794466403156,0.5938967136150256,32,2026-07-31,6930.0,2026-08-24,8150.0,2026-09-02,8600.0,2026-08-18,9200.0,2026-08-31,9140.0,,,-0.0007270083605961304,0.009725651608072853,,,1207473250.0,,True
2026-09-17,2026-09-16,5832.T,ちゅうぎんフィナンシャルグループ,銀行業,ascending_triangle,3575.0000000000023,3611.0,93.44608399210405,1.00699300699294,3186.0,389.0000000000023,3964.0000000000045,0.09254498714652318,9.775685405704927,-11.769592910551097,0.830588235294129,0.5462724935732614,33,2026-07-30,3186.0,2026-08-20,3330.0,2026-09-09,3396.0,2026-08-18,3610.0,2026-08-31,3595.0,,,-0.0004626416840156487,0.002269975786924905,,,1154440185.0,,True
2026-09-17,2026-09-16,6849.T,日本光電工業,電気機器,ascending_triangle,1528.499999999999,1561.5,37.343264043968205,2.1589793915604227,1342.5,185.9999999999991,1714.4999999999982,0.17741935483871543,9.79827089337164,-14.024975984630162,0.6986301369862932,0.5887096774193578,27,2026-08-07,1342.5,2026-08-27,1487.0,2026-09-10,1437.5,2026-08-26,1543.5,2026-09-02,1538.5,,,-0.0006489292667099314,0.003143991922623536,,,1080497172.5,,True
