delivered_on,asof,ticker,name,landing_ma,landing_ma_value,landing_dist_atr,lp,lp_date,h0_high,h0_date,close_t,atr_t,state,depth_pct,pullback_days,adv_jpy,sector33,a4_earnings_unknown,e1_skipped,earnings_days,streak,prev_delivered_on
2026-09-04,2026-09-03,6301.T,小松製作所,SMA25,7256.96,0.5245214471611562,7361.0,2026-09-02,7636.0,2026-08-27,7513.0,198.35223242651176,反発開始,0.03601361969617601,5,19016302950.0,機械,True,True,,1,
2026-09-04,2026-09-03,7550.T,ゼンショーホールディングス,SMA25,11128.04,0.8155902415499373,11415.0,2026-09-02,12070.0,2026-08-28,11810.0,351.84334654944377,反発開始,0.054266777133388566,4,6598908375.0,小売業,True,True,,1,
2026-09-04,2026-09-03,7322.T,三十三フィナンシャルグループ,SMA5,2154.6,0.7300951314696933,2094.0,2026-09-02,2253.0,2026-08-31,2188.0,83.00288193678422,反発開始,0.07057256990679095,3,775440445.0,銀行業,True,True,,1,
2026-09-04,2026-09-03,8393.T,宮崎銀行,SMA5,2565.0,0.531954372880055,2516.0,2026-09-02,2650.0,2026-08-31,2619.0,92.11316326757317,反発開始,0.050566037735849056,3,687048875.0,銀行業,True,True,,1,
2026-09-04,2026-09-03,8551.T,北日本銀行,SMA5,7902.0,0.7305319561036955,7700.0,2026-09-02,8130.0,2026-08-31,7950.0,276.51083338964446,反発開始,0.05289052890528905,3,358043250.0,銀行業,True,True,,1,
