date,code,name,sector,dcs,coverage,category,dim1,dim2,dim3,dim4,dim5,part_3-a,part_3-b,part_3-c,part_3-d,part_4-a,part_4-c,part_4-d,part_5-a,part_5-b,part_5-c,part_5-d,missing,part_1-a,part_1-b,part_1-c,part_1-d,part_1-e,part_1-f,part_1-g,part_1-h,part_2-a,part_2-b,part_2-c,part_2-d,part_4-b
2026-08-18,166A,タスキホールディングス,不動産業,68.0,0.6,監視,0.9173,0.7237,0.8118,0.4158,0.5314,0.7385,1.0,0.9087,0.6,1.0,0.1053,0.2,0.0,0.3709,0.7547,1.0,"4,5",1.0,1.0,1.0,1.0,1.0,0.6384,1.0,0.7,0.7571,0.9762,0.1613,1.0,0.3579
2026-08-18,167A,リョーサン菱洋ホールディングス,卸売業,30.65,0.0,除外,0.0,0.4359,0.4328,0.3311,0.3327,0.1466,0.4583,0.393,0.7333,0.2273,0.5789,0.5,0.8213,0.2006,0.0,0.3089,"1,2,3,4,5",,,,,,,,,0.2804,0.2174,0.3871,0.8588,0.0182
2026-08-18,1719,安藤・間,建設業,53.87,0.4,除外,0.6122,0.4891,0.2963,,0.7571,0.1122,0.4707,0.1358,0.4667,0.2273,0.1053,1.0,1.0,0.103,0.9254,1.0,"2,3,4",0.0,0.9077,0.5,1.0,0.5857,0.4044,0.5,1.0,0.4948,0.3676,0.7419,0.3522,
2026-08-18,1720,東急建設,建設業,42.45,0.2,除外,0.1987,0.3391,0.4501,,0.71,0.407,0.3842,0.3427,0.6667,0.2273,0.2105,0.2,1.0,0.123,0.7172,1.0,"1,2,3,4",0.0,0.7273,0.5,0.0,0.3624,0.0,0.0,0.0,0.3643,0.25,0.7419,0.0,
2026-08-18,1721,コムシスホールディングス,建設業,54.05,0.4,除外,0.6869,0.5445,0.3605,0.3086,0.8017,0.2771,0.1672,0.5313,0.4667,0.6818,0.0526,0.5,1.0,0.2068,1.0,1.0,"2,3,4",1.0,1.0,1.0,0.0,1.0,0.5955,0.5,0.4,0.7301,0.7059,0.7419,0.0,0.0
2026-08-18,1723,日本電技,建設業,49.77,0.2,除外,0.425,0.6289,0.4181,,0.5188,0.0,0.2992,0.9065,0.4667,0.2273,0.1579,0.5,0.4884,0.1626,0.4242,1.0,"1,3,4,5",0.0,1.0,0.5,0.0,1.0,0.0,0.5,0.4,0.8471,0.9265,0.7419,0.0,
2026-08-18,1762,高松コンストラクショングループ,建設業,52.81,0.4,除外,0.8738,0.6417,0.4292,0.275,0.4208,0.3768,0.2795,0.5273,0.5333,0.0,0.9,0.2,1.0,0.1333,0.5498,0.0,"3,4,5",1.0,1.0,0.5,1.0,0.9141,0.576,1.0,1.0,0.4865,0.3382,0.7419,1.0,0.0
2026-08-18,1766,東建コーポレーション,建設業,30.88,0.2,除外,0.0,0.0,0.6374,,0.5979,0.4959,0.509,0.7447,0.8,0.0909,0.1579,0.2,0.6946,0.1361,0.561,1.0,"1,2,4,5",,,,,,,,,,,,,
2026-08-18,1786,オリエンタル白石,建設業,19.96,0.2,除外,0.0,0.0,0.1808,,0.6176,0.0,0.3233,0.0,0.4,0.0,0.0,0.5,0.9786,0.2149,0.2771,1.0,"1,2,3,4",,,,,,,,,,,,,
2026-08-18,1801,大成建設,建設業,56.6,0.4,除外,0.3125,0.5665,0.6597,,0.7253,0.9726,0.4504,0.5491,0.6667,0.2273,0.4737,0.5,1.0,0.149,0.7523,1.0,"1,2,4",0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.7594,0.7647,0.7419,0.0,
2026-08-18,1802,大林組,建設業,46.63,0.2,除外,0.3125,0.502,0.4241,,0.6265,0.6053,0.2501,0.3744,0.4667,0.2273,0.2105,1.0,1.0,0.1308,0.3752,1.0,"1,2,3,4",0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.6777,0.5882,0.7419,0.0,
2026-08-18,1803,清水建設,建設業,48.82,0.2,除外,0.3125,0.5293,0.3639,,0.747,0.1009,0.164,0.5907,0.6,0.2273,0.5263,0.2,1.0,0.2076,0.7803,1.0,"1,2,3,4",0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.7136,0.6618,0.7419,0.0,
2026-08-18,1808,長谷工コーポレーション,建設業,53.52,0.2,除外,0.5095,0.4576,0.5565,,0.6172,0.6109,0.4128,0.7356,0.4667,0.2273,0.2632,0.2,1.0,0.1224,0.3922,0.9541,"1,2,3,4",0.0,0.9948,0.5,1.0,0.814,0.1673,0.5,0.1,0.542,0.3824,0.7419,0.1642,
2026-08-18,1812,鹿島建設,建設業,37.58,0.0,除外,0.3125,0.5149,0.2323,,0.4436,0.3509,0.245,0.0,0.3333,0.1364,0.4211,0.5,1.0,0.1435,0.1785,0.4522,"1,2,3,4,5",0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.7001,0.6176,0.7419,0.0,
2026-08-18,1813,不動テトラ,建設業,52.37,0.2,除外,0.458,0.371,0.519,,0.7467,0.2373,0.3726,0.6663,0.8,0.2273,0.2105,0.5,1.0,0.1601,0.8267,1.0,"1,2,3,4",0.0,0.6221,0.5,1.0,0.5419,0.0,0.0,1.0,0.4333,0.3088,0.7419,0.0,
2026-08-18,1814,大末建設,建設業,49.58,0.4,除外,0.8457,0.8115,0.1532,0.1463,0.522,0.0,0.2795,0.0,0.3333,0.2273,0.1579,0.2,1.0,0.1648,0.5438,0.3795,"3,4,5",1.0,1.0,0.5,1.0,1.0,0.2659,1.0,1.0,0.7541,0.75,0.7419,1.0,0.0
2026-08-18,1815,鉄建建設,建設業,38.56,0.2,除外,0.375,0.5341,0.0301,,0.6032,0.0,0.0538,0.0,0.0667,0.0909,0.1053,1.0,0.8322,0.1246,0.4561,1.0,"1,2,3,4",0.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,0.7181,0.6765,0.7419,0.0,
2026-08-18,1820,西松建設,建設業,46.41,0.2,除外,0.4093,0.3295,0.4017,,0.7158,0.3083,0.4226,0.2756,0.6,0.2273,0.0,0.5,1.0,0.1315,0.7316,1.0,"1,2,3,4",0.0,0.6111,0.5,1.0,0.3002,0.1634,0.0,0.7,0.3553,0.2206,0.7419,0.0,
2026-08-18,1822,大豊建設,建設業,32.63,0.0,除外,0.0,0.5037,0.5677,0.195,0.3649,0.2943,0.5941,0.8491,0.5333,0.2273,0.0526,0.5,0.4347,0.1667,0.8584,0.0,"1,2,3,4,5",,,,,,,,,0.2294,0.1029,0.7419,0.9405,0.0
2026-08-18,1833,奥村組,建設業,40.88,0.2,除外,0.3377,0.4305,0.1381,,0.7289,0.1046,0.0812,0.1667,0.2,0.2273,0.0,0.2,1.0,0.1205,0.7952,1.0,"1,2,3,4",0.0,1.0,0.5,0.0,0.8689,0.0324,0.0,0.3,0.5525,0.3971,0.7419,0.0303,
2026-08-18,1835,東鉄工業,建設業,36.39,0.2,除外,0.0,0.298,0.454,,0.7037,0.7619,0.2659,0.2549,0.5333,0.2273,0.2632,1.0,1.0,0.2003,0.6147,1.0,"1,2,3,4",,,,,,,,,0.3028,0.1471,0.7419,0.0,
2026-08-18,1852,淺沼組,建設業,55.8,0.2,除外,0.476,0.5979,0.5098,,0.6483,0.4479,0.755,0.3695,0.4667,0.2273,0.85,0.5,1.0,0.0902,0.5032,1.0,"1,2,3,4",0.0,0.6275,0.0,1.0,0.6443,0.0361,0.5,1.0,0.3703,0.2794,0.7419,1.0,
2026-08-18,1860,戸田建設,建設業,50.2,0.2,除外,0.6384,0.5728,0.2857,0.4465,0.5665,0.3526,0.153,0.6371,0.0,0.9545,0.6316,0.2,1.0,0.1611,0.8295,0.2754,"2,3,4,5",1.0,1.0,1.0,0.0,1.0,0.607,0.5,0.0,0.7699,0.7794,0.7419,0.0,0.0
2026-08-18,1861,熊谷組,建設業,37.92,0.0,除外,0.2646,0.4733,0.223,,0.5559,0.0866,0.2053,0.0,0.6,0.2273,0.2632,0.5,0.9523,0.121,0.1505,1.0,"1,2,3,4,5",0.0,1.0,0.5,0.0,0.5172,0.0,0.0,0.1,0.6364,0.5147,0.7419,0.0,
2026-08-18,186A,アストロスケールホールディングス,サービス業,51.14,0.2,除外,0.775,0.4472,0.549,0.2722,0.5137,1.0,0.0,0.5958,0.6,0.8182,0.0526,0.2,0.8079,0.5492,0.3916,0.3062,"2,3,4,5",1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.7,0.7421,0.9176,0.129,0.0,0.0182
2026-08-18,1870,矢作建設工業,建設業,33.21,0.0,除外,0.0,0.4408,0.3222,,0.5655,0.2291,0.4599,0.0,0.6,0.2273,0.1053,0.2,1.0,0.1179,0.1442,1.0,"1,2,3,4,5",,,,,,,,,0.3231,0.1765,0.7419,0.5216,
2026-08-18,1871,ピーエス・コンストラクション,建設業,64.45,0.4,除外,0.5625,0.5655,0.6713,,0.7789,0.9373,0.3907,0.6904,0.6667,0.2273,0.0526,1.0,1.0,0.3119,0.8036,1.0,"1,2,4",0.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.473,0.3235,0.7419,0.7234,
2026-08-18,1878,大東建託,不動産業,38.15,0.2,除外,0.6114,0.226,0.4549,0.2031,0.4121,0.6154,0.2922,0.7119,0.2,0.4545,0.1579,0.2,0.2991,0.25,0.0994,1.0,"2,3,4,5",1.0,0.7218,0.5,1.0,0.4443,0.425,0.5,0.3,0.2339,0.2381,0.1613,0.2709,0.0
2026-08-18,1879,新日本建設,建設業,51.22,0.4,除外,0.9824,0.397,0.3275,0.2432,0.6111,0.0,0.6432,0.0,0.6667,0.7727,0.0,0.2,1.0,0.4444,0.0,1.0,"2,3,4",1.0,1.0,1.0,1.0,0.9682,0.891,1.0,1.0,0.4933,0.3529,0.7419,0.0,0.0
2026-08-18,1882,東亜道路工業,建設業,49.29,0.2,除外,0.3834,0.511,0.3165,,0.7606,0.1986,0.2759,0.5916,0.2,0.2273,0.1579,0.5,1.0,0.1695,0.873,1.0,"1,2,3,4",0.0,0.7255,0.5,1.0,0.271,0.2705,0.0,0.3,0.2841,0.1324,0.7419,0.8856,
2026-08-18,1885,東亜建設工業,建設業,45.08,0.2,除外,0.0,0.4427,0.5642,,0.7963,0.8665,0.3804,0.4763,0.5333,0.2273,0.2105,0.5,1.0,0.1852,1.0,1.0,"1,2,3,4",,,,,,,,,0.5877,0.4412,0.7419,0.0,
2026-08-18,1887,日本国土開発,建設業,48.46,0.2,除外,0.3974,0.3437,0.4846,,0.7129,0.0,0.4072,0.7981,0.7333,0.2273,0.0,0.2,1.0,0.1001,0.7513,1.0,"1,2,3,4",0.0,0.5335,0.5,1.0,0.4454,0.0,0.0,0.7,0.3681,0.2647,0.7419,0.0,
2026-08-18,1893,五洋建設,建設業,37.83,0.2,除外,0.3125,0.6009,0.1983,,0.4016,0.2009,0.1925,0.0,0.4,0.2273,1.0,0.2,1.0,0.1196,0.4867,0.0,"1,3,4,5",0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.8088,0.8529,0.7419,0.0,
2026-08-18,1898,世紀東急工業,建設業,26.65,0.2,除外,0.0,0.3254,0.1039,,0.6366,0.0738,0.2085,0.0,0.1333,0.2273,0.0526,1.0,1.0,0.1085,0.4378,1.0,"1,2,3,4",,,,,,,,,0.2084,0.0882,0.7419,0.263,
2026-08-18,1899,福田組,建設業,60.63,0.4,除外,0.9375,0.7599,0.1846,,0.5431,0.0,0.3383,0.0,0.4,,0.8947,0.2,0.9752,0.1972,0.0,1.0,"3,4,5",1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6949,0.6029,0.7419,1.0,0.0182
2026-08-18,1909,日本ドライケミカル,機械,76.65,0.8,本命,0.7831,0.681,0.6871,,0.9147,1.0,0.4988,0.5832,0.6667,,0.5263,0.2,1.0,0.6588,1.0,1.0,4,1.0,1.0,1.0,0.0,1.0,0.8644,1.0,0.4,0.9573,0.9278,0.8387,0.0,0.0
2026-08-18,1911,住友林業,建設業,27.54,0.2,除外,0.0,0.0,0.4904,,0.611,0.6199,0.4262,0.449,0.4667,0.1364,0.2105,0.5,0.7594,0.1394,0.5452,1.0,"1,2,3,4",,,,,,,,,,,,,
2026-08-18,1925,大和ハウス工業,建設業,28.31,0.0,除外,0.0,0.0,0.5685,,0.564,0.6897,0.4409,0.6766,0.4667,0.2273,0.1579,0.2,0.681,0.13,0.4451,1.0,"1,2,3,4,5",,,,,,,,,,,,,
2026-08-18,1926,ライト工業,建設業,37.22,0.0,除外,0.4492,0.4551,0.246,,0.3386,0.0262,0.691,0.0,0.2667,0.2273,0.8947,0.2,0.6513,0.1399,0.5632,0.0,"1,2,3,4,5",0.0,1.0,1.0,0.0,0.6635,0.4305,0.5,0.0,0.6079,0.4706,0.7419,0.0,
2026-08-18,1928,積水ハウス,建設業,45.33,0.0,除外,0.4632,0.5108,0.5297,,0.3097,0.6213,0.4185,0.8791,0.2,0.2273,0.1579,0.2,0.639,0.1373,0.0135,0.449,"1,2,3,4,5",0.0,0.7706,0.5,1.0,0.2571,0.5776,0.5,0.1,0.3358,0.1912,0.7419,0.7743,
2026-08-18,1929,日特建設,建設業,38.82,0.2,除外,0.0,0.2913,0.5337,,0.7277,0.1385,0.4467,0.8831,0.6667,0.2273,0.0,0.5,1.0,0.1564,0.7544,1.0,"1,2,3,4",,,,,,,,,0.2466,0.1176,0.7419,0.059,
