date,code,name,sector,dcs,coverage,category,dim1,dim2,dim3,dim4,dim5,part_2-a,part_2-b,part_2-c,part_2-d,part_3-a,part_3-b,part_3-c,part_3-d,part_4-a,part_4-c,part_4-d,part_5-a,part_5-b,part_5-c,part_5-d,missing,part_1-a,part_1-b,part_1-c,part_1-d,part_1-e,part_1-f,part_1-g,part_1-h,part_4-b
2026-08-20,9142,九州旅客鉄道,陸運業,18.51,0.0,除外,0.0,0.0,0.4264,,0.314,,,,,0.0558,0.4127,0.7039,0.5333,0.0,0.3158,0.5,0.2926,0.1013,0.0,0.8622,"1,2,3,4,5",,,,,,,,,
2026-08-20,9143,ＳＧホールディングス,陸運業,53.97,0.2,除外,0.8947,0.4077,0.5339,,0.3228,0.2018,0.2353,0.1935,1.0,0.6678,0.2895,0.645,0.5333,,0.0,0.2,0.681,,0.2873,0.0,"2,3,4,5",1.0,0.774,1.0,1.0,0.6362,0.747,1.0,1.0,0.5273
2026-08-20,9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,陸運業,66.67,0.6,監視,1.0,0.7062,0.3453,,0.6153,0.8325,1.0,0.1935,0.7986,0.3085,0.3228,0.1497,0.6,,0.0526,0.2,0.5664,,0.2796,1.0,"3,4",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2026-08-20,9166,ＧＥＮＤＡ,サービス業,30.6,0.2,除外,0.0,0.0,0.7158,0.2566,0.5579,,,,,1.0,0.2195,0.9102,0.7333,0.0,0.5263,0.5,0.9026,0.2106,0.1184,1.0,"1,2,4,5",,,,,,,,,0.0
2026-08-20,9201,日本航空,空運業,43.44,0.4,除外,0.8301,0.0,0.7593,0.2661,0.3166,,,,,0.7111,0.5477,0.9118,0.8667,0.2273,0.4737,0.2,0.5274,0.1003,0.4912,0.1477,"2,4,5",1.0,0.5249,0.5,1.0,0.8337,0.782,1.0,1.0,0.1636
2026-08-20,9202,ＡＮＡホールディングス,空運業,60.84,0.6,監視,0.9131,0.7496,0.7058,0.2925,0.381,0.2487,1.0,,1.0,0.4693,0.6153,0.9385,0.8,0.2273,0.5789,0.2,0.546,0.1265,0.6223,0.2294,"4,5",1.0,0.9586,1.0,1.0,0.672,0.6744,1.0,1.0,0.1636
2026-08-20,9247,ＴＲＥホールディングス,サービス業,62.96,0.6,監視,0.6978,0.6902,0.7746,0.524,0.4615,0.7453,0.9186,0.0968,1.0,1.0,0.8202,0.6117,0.6667,0.6,0.1053,0.5,0.69,,0.3118,0.3826,"4,5",1.0,1.0,1.0,0.0,1.0,0.5828,1.0,0.0,0.8909
2026-08-20,9267,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,小売業,27.91,0.2,除外,0.0,0.0,0.6198,,0.4967,,,,,0.2686,0.662,0.9485,0.6,0.0,0.1579,1.0,0.479,0.141,0.367,1.0,"1,2,4,5",,,,,,,,,
2026-08-20,9274,ＫＰＰグループホールディングス,卸売業,65.72,0.6,監視,0.8996,0.6898,0.4259,,0.6135,0.6515,0.7204,0.3871,1.0,0.0512,0.5641,0.4882,0.6,,0.1053,0.2,1.0,,0.7878,0.0526,"3,4",1.0,1.0,1.0,1.0,1.0,0.8968,1.0,0.3,0.4368
2026-08-20,9278,ブックオフグループホールディングス,小売業,56.79,0.4,除外,0.9944,0.6874,0.5442,,0.0456,0.7461,0.9391,0.0645,1.0,0.0,1.0,0.7102,0.4667,,0.875,0.2,0.0,,0.1367,0.0,"3,4,5",1.0,1.0,1.0,1.0,1.0,0.9554,1.0,1.0,0.5053
2026-08-20,9279,ギフトホールディングス,小売業,65.79,0.6,監視,0.9899,0.632,0.7014,,0.3082,0.5853,0.8783,0.0645,1.0,0.7957,0.4746,0.8021,0.7333,,0.8,0.2,0.802,,0.1226,0.0,"4,5",1.0,1.0,1.0,1.0,1.0,0.9188,1.0,1.0,0.5
2026-08-20,9301,三菱倉庫,倉庫・運輸関連業,48.72,0.2,除外,0.7211,0.5859,0.5243,0.275,0.3297,0.586,0.6667,0.6129,0.478,0.5053,0.4168,0.4416,0.7333,0.2,0.3158,0.2,0.6394,,0.0,0.3496,"2,3,4,5",1.0,1.0,1.0,0.0,1.0,0.6689,1.0,0.1,0.3842
2026-08-20,9302,三井倉庫ホールディングス,倉庫・運輸関連業,16.82,0.0,除外,0.0,0.0,0.4881,,0.1847,,,,,0.5502,0.2961,0.8396,0.2667,0.5,0.3158,0.5,0.3719,0.1104,0.0,0.2563,"1,2,3,4,5",,,,,,,,,
2026-08-20,9303,住友倉庫,倉庫・運輸関連業,59.37,0.2,除外,0.9817,0.4791,0.5256,,0.3885,0.5555,0.5,0.6129,0.2482,0.4962,0.374,0.6321,0.6,,0.7895,0.5,0.8656,0.1416,0.5466,0.0,"2,3,4,5",1.0,1.0,1.0,1.0,1.0,0.8539,1.0,1.0,0.0
2026-08-20,9304,澁澤倉庫,倉庫・運輸関連業,45.61,0.4,除外,0.9628,0.8703,0.2709,0.1763,0.0,0.8682,1.0,0.6129,1.0,0.0,0.2898,0.7273,0.0667,0.4,0.1053,0.2,0.0,,0.0,0.0,"3,4,5",1.0,1.0,1.0,1.0,1.0,0.7022,1.0,1.0,0.0
